Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Feet type (product.metafields.shopify.feet-type),Hoop shape (product.metafields.shopify.hoop-shape),Leg lock type (product.metafields.shopify.leg-lock-type),Material (product.metafields.shopify.material),Mount/Stand features (product.metafields.shopify.mount-stand-features),Shape (product.metafields.shopify.shape),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Hungary,Price / Hungary,Compare At Price / Hungary,Included / International,Price / International,Compare At Price / International,Status
tripod-bottarto,Tripod  Bottartó,"<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Háromlábú </span></span><br><br></p>
<div class=""xuk3077 x78zum5 x1q0g3np x13a6bvl x2lwn1j xeuugli x1jchvi3 xlxfd2w x1gslohp x126k92a"">
<div class=""x6s0dn4 x78zum5 x15zctf7 x2lwn1j xeuugli x193iq5w xh8yej3"">
<div class=""xuk3077 x78zum5 xdt5ytf x2lwn1j xeuugli xdl72j9 x1c4vz4f x2lah0s x16fdfms x161msgk x1s9ed0f x1eapu41 x1r944mn"">
<div class=""x1rg5ohu x67bb7w"" id=""js_4v"">
<div class=""x1y1aw1k xn6708d xwib8y2 x1ye3gou x13faqbe x1eied1y xca6lcq x1pdtjp8 xpctjk2 xg32yw2 x1fr600 xt0e3qv""><span><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">A Tripod állványunk kiváló választás minden horgász számára, aki masszív és stabil tartóeszközt keres. Az állvány teleszkópos lábai könnyen állíthatók, összecsukva mindössze 50 cm hosszú, kinyitva pedig akár 88 cm magasságot is elérhet. Az állvány rendkívül könnyű és erős, így könnyen hordozható és biztosítja a stabilitást még a nehéz körülmények között is. A szabványos menetnek szinte minden menettel kompatibilis, így biztosítva a sokoldalú felhasználást. Az állvány minden részlete a tartósság és a funkcionalitás jegyében készült, így hosszú távon is megbízható társa lesz a kreatív munkában.</span></span></span></div>
</div>
</div>
</div>
</div>
<!---->",Bull Fishing Store,Cameras & Optics > Camera & Optic Accessories > Tripods & Monopods,"","",true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,deny,manual,6190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/4_73c52308-f60f-4720-99fa-a673f90899b7.png?v=1722676810,1,"",false,,,,,,,,,,,,,,,gold; silver,rubber,,twist-lock,metal,telescopic; adjustable-dimensions,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/3_3d4110b9-4301-4639-9ccb-3a3532c29609.png?v=1722676809,kg,,,true,,,true,,,active
tripod-bottarto,,,,,,,,,silver,,,,,,,,"",0.0,shopify,deny,manual,6190.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/3_3d4110b9-4301-4639-9ccb-3a3532c29609.png?v=1722676809,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/4_73c52308-f60f-4720-99fa-a673f90899b7.png?v=1722676810,kg,,,,,,,,,
bull-tackle-gumis-bottarto-fej-fluo-4db,Bull Tackle-Gumis Bottartó Fej Fluo kicsi 4db,"<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">A hátsó bottartó ideális kiegészítő rodpodokhoz és tripodokhoz, ezekhez a horgászbotok stabil és biztonságos rögzítését. A tartó szabványos menettel rendelkezik, így kompatibilis a legtöbb állvánnyal. Két színben kapható: klasszikus fekete és feltűnő floro zöld, így minden horgász megtalálhatja a számára legmegfelelőbbet. Egy csomagban négy darab bottartó található, biztosítva ezzel a teljes készletet a sikeres horgászathoz. Ezek a bottartók nemcsak praktikusak, de tartósak is, így hosszú távon megbízható társai lesznek a vízparti kalandoknak.</span></span></p>
<!---->",Bull Fishing Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Fishing Tackle Kits,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,1990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/2024-08-02_1.07.54.png?v=1722597641,1,"",false,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
bull-tackle-gumis-bot-villa-4db,Bull Tackle-Gumis Bot Villa kicsi 4db,"<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">A hátsó bottartó ideális kiegészítő rodpodokhoz és tripodokhoz, ezekhez a horgászbotok stabil és biztonságos rögzítését. A tartó szabványos menettel rendelkezik, így kompatibilis a legtöbb állvánnyal. Két színben kapható: klasszikus fekete és feltűnő floro zöld, így minden horgász megtalálhatja a számára legmegfelelőbbet. Egy csomagban négy darab bottartó található, biztosítva ezzel a teljes készletet a sikeres horgászathoz. Ezek a bottartók nemcsak praktikusak, de tartósak is, így hosszú távon megbízható társai lesznek a vízparti kalandoknak.</span></span></p>
<!---->",Bull Fishing Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Fishing Tackle Kits,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,1990.00,,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/2024-08-02_1.02.27.png?v=1722596653,1,"",false,,,,,,,,,,,,,,,black,,,,rubber,,,,kg,,,true,,,true,,,active
bull-tackle-boilies-merito-100-100cm,Bull Tackle-Boilies Merítő 100*100Cm,"<p>A <strong>Bojlis Nagyhalas Merítő</strong> ideális választás minden horgász számára, aki a legnagyobb halakat célozza meg. Ez a merítőháló kiváló minőségű anyagokból készült, hogy a lehető legjobb élményt nyújtsa a horgászat során. Íme néhány kiemelkedő tulajdonsága:</p>
<ul>
<li>
<strong>Mérete</strong>: 1m x 1m - A háló mérete lehetővé teszi, hogy a legnagyobb halak is kényelmesen elférjenek benne.</li>
<li>
<strong>Praktikus szállítás</strong>: A merítő könnyen összecsukható és egy hordtáskában szállítható, ami egyszerű és kényelmes hordozást biztosít.</li>
<li>
<strong>Gyorsan szárad</strong>: A háló anyaga gyorsan szárad, így nem kell hosszú ideig várni, amíg újra használható lesz.</li>
<li>
<strong>Könnyű</strong>: A merítő könnyű szerkezete miatt nem okoz fáradtságot a használata, még hosszabb ideig tartó horgászat során sem.</li>
</ul>
<p>Ezek a tulajdonságok együttesen biztosítják, hogy a <strong>Bojlis Nagyhalas Merítő</strong> a legjobb választás legyen minden horgász számára, aki szeretne könnyen és hatékonyan dolgozni a vízparton.</p>
<!---->",Bull Fishing Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Nets,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,15990.00,18990.00,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/69112c61-e860-400d-ac7f-c25339affaae.jpg?v=1722590085,1,"",false,,,,,,,,,,,,,,,green; black,,d-shaped,,,,,,kg,,,true,,,true,,,active
bull-tackle-boilies-merito-100-100cm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/Untitled-1_273e8d01-bb61-4089-8353-8f0cfa22b6bb.jpg?v=1722590085,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bull-tackle-boilies-merito-100-100cm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0583/1242/5659/files/ea37d8bb-af54-4bd9-93c3-c2dcb5635b0b.png?v=1722590085,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bull-tackle-phoenix-toray-karbon-meritonyel,BULL TACKLE - PHOENIX TORAY KARBON Merítőnyél,"<div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"">3 méter (2 részes), 428 gramm súlyú</div>
<div dir=""auto"">1,8 méter (szintén 2 részes), 253 gramm súlyú</div>
<div dir=""auto"">Ezek a meritőnyelek 3K erősített szövéssel készültek és 24T karbonból gyártották őket, így rendkívül tartósak és strapabíróak. A menet és a szakaszkötéseknél megerősített részekkel rendelkeznek, amelyek biztosítják a hosszú élettartamot és a stabil használatot. A kényelmes fogás érdekében ergonomikus kialakítást kaptak.</div>
</div>
<div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"">Az <span class=""html-span xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs""><a class=""html-a xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs"" tabindex=""-1""></a></span>1,8 méteres változat különlegessége, hogy egy mágnessel van felszerelve, ami a szákolást segíti. A hosszú háló végén szintén egy kis mágnes található, amely összetartja a hálót. Amint megszákoljuk a halat, a mágnes azonnal elenged, megkönnyítve ezzel a folyamatot.</div>
</div>
<div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"">Ezek a meritőnyelek rendkívül erősek és nagy fejekhez, illetve nagy halakhoz lettek tervezve. Próbáld ki Te is a Bull Tackle Phonix Bojlis Meritőnyeleket, és emeld a horgászat élményét egy új szintre!</div>
</div>
<div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a""><br></div>
<div class=""x11i5rnm xat24cr x1mh8g0r x1vvkbs xtlvy1s x126k92a"">
<div dir=""auto"">
<span class=""html-span xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x1hl2dhg x16tdsg8 x1vvkbs""><a role=""link"" rel=""nofollow noreferrer"" href=""http://www.bullfishingstore.com/?fbclid=IwZXh0bgNhZW0CMTAAAR3MG-D4jn5uvYvxDQT6VB03z9yBfniMbuWj7fCBTmv8ptXv4UDFvMCCQvk_aem_QskErpgsTzcBqGD8maGoMw"" class=""x1i10hfl xjbqb8w x1ejq31n xd10rxx x1sy0etr x17r0tee x972fbf xcfux6l x1qhh985 xm0m39n x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x11i5rnm xat24cr x1mh8g0r xexx8yu x4uap5 x18d9i69 xkhd6sd x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz x1sur9pj xkrqix3 x1fey0fg"" tabindex=""0"" target=""_blank"" attributionsrc=""/privacy_sandbox/comet/register/source/?xt=AZU2ZpJZdgk8RK8s-4_MefOeUp7E7436bBemmtmNCKCzK3pmjqHigjIBF8J35b3PqIqUstqpAqN89ALplEhtjmnfxtNTEoWrDnm8HQ8ZsWoc9Yg0tRnsLcZd9VJUcXc-_Wyyr80Ow-26TDnRl7SJIOx540BkPNXwkDF24DuSYWk1EmvOf4QPXqhQgw_7UaD98e-W6Q3HcXo-0WxIUnHXB_hJU7IQcJzq06nGOKYklsw8g-f5v8THbNo3vOOafE7n9puWY2YYqon2YUKf19UqbGcIwWjp-jHjcAUPhh9F6iN0IwiMO0HhVHCYaU__GnSwIcCUTykbgxGiyLqtzDjPyJuSz901aewj4K96G6J8NfEKOACL0D1XuePZR8Q4eRiVuWGKogWj4KV-5W82TR1jOM231WoniJXvTZvdTxVoY03M6DXZb53Q8wdfW_YRfvDfEgffzB_LKPKXcGE4W6BU7w2QMnYLcfdyMK_xT6Xx5MbYSvOOV-4PncIh_z90H43h1IcCOegwITAI60tJN1m5xI1YDlqwfL715Q98mit6u45US9-yoNNci1jOsh7TRTzicma_ITHmoWOy585EArJVizowTopUe6yfPIFBKy_6k3UsXlyuAf9MTwJmjwizkzrhoxsOpsTE0xgrjnze1bieKcOH5KGZoElfBlAzqkk2KyPpISfR8b9nzndNhR0_y5zz5rr0OaQ94tgucpiSrx8TDjB_jCkinbb2SvfcwJmYpTvjWEx1egk3YA5S_SaF6k2PlwfGf78mYAsZEVBzGJcgH0TJlp5f-9Q83Co_XKBZ29YAiXcMBu8u9vaFU2LyVuofxlzrmPEJUBE8d_fLVmo5zDWhMMYaBjUy387umAGT-i2hoc-k8u3KTM3zu-_VYptQxW8OqO_li_8aTaP62XvHhAY-1Z1czn0Cyld4gfn1k7CREjA3GPnf0_ZWL7GP45HYevnX7KHen56Q_QIAoqAQfZwO_XwRVlNgG0KgYSPgu4XqBdizq1RCbRZk4snTSFW1YvGQfb2G7IypYDpuWhA_IeHEX2qMuciSI2VVP4fXayNMJZjlg_UZ7w1joN0Dd2Q_QZQpWlhbKhcovXAdq885eTuvAytKIpdTJjoYd4PHoS3mOibYhj5cmwYMc3coW9MBEoqlt1GegvKN2c8akKT2aXPBPVAl5xZAK_r7OJe7zpQj_5N39hJ-JWnP6dF4gs9ShXqtoPd8fSvZzVpncLZfvHspadbLskqh1lq0V-36AQSvcYVfr1CEUu5frUjZi4uqtMvZ1Ln81qw1tOxptYl83TTkFKi3Egi7Uclf3uaAg7OkNG4pdrW6LdBPLXI49CKKH_-aoZMEEtz3cmCwNx40lvJUFt4lSbKXwgbXS5V7IiwJc2HfjQzbkobvWyZqyZvOs3vBROlypFj9V3GEJCMtYWW7Yl5mzSYgOD8Gjv7WmxCpnHJa8wwfKOn_ihP-wuGzdte87cMbcH4rcr8tenknUyiS""></a></span><br>
</div>
</div>
<!---->",Bull Fishing Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Rod Accessories > Fishing Rod Holders & Storage Racks,"","",true,size,180cm,,,,,,,,"",0.0,shopify,deny,manual,8990.00,12990.00,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/Untitled-1_a270986e-a491-4075-bfda-d0400d46d50a.jpg?v=1722589601,1,"",false,,,,,,,,,,,,,,,black,,,,carbon,,,,kg,,,true,,,true,,,active
bull-tackle-phoenix-toray-karbon-meritonyel,,,,,,,,,300cm,,,,,,,,"",0.0,shopify,deny,manual,12990.00,15990.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
bull-tackle-phoenix-toray-karbon-bojlis-merito,Bull Tackle - Phoenix Toray karbon bojlis merítő,"<p>A Bull Tackle Phoenix merítháló a Kolibri család ránfelvarott verziója, könyebb és még erősebb Toray karbon nyelet kapott, új Y fejjel lett ellátva, mágneses csatlakozó került a nyéltagba/hálóba, új és könyebb hálóval láttuk el, így véleményünk szerint sikerült megalkotnunk a tökéletes pontyozó merítőt.</p>
<p>180 cm és 300cm hosszú 2 részes erősített és könnyített Toray karbon nyelet kapunk a Phoenix merítőkhöz, amelyek 3 helyen vannak zsugorozva.</p>
<p>A háló 1m*1m, amelybe a leghatalmasabb példányok is könnyedén elférnek, emellett egy új ultra könnyű hálóval láttuk el, amely egyáltalán nem szívja meg magát vízzel.</p>
<p><span>Könnyedén használható a háló a kétrészes nyélnek csak az egyik részével is, így ez a merítő valóban sokoldalú lehet olyan közeli helyzetekben, mint a csónakos fárasztás, vagy csónakból való horgászat. </span></p>
<p><span>A merítőfejet egy gyors mozdulattal, a másodperc töredéke alatt szét lehet szedni és összerakni.</span></p>
<p>A merítő különlegessége a mágneses leoldó, amely rögízti a háló végét a nyélhez, amely csak akkor oldd le, amennyiben megmerítettük a halat, ezzel is elősegítve a sikeres merítést.</p>
<p>Tulajdonságok:</p>
<p> </p>
<ul>
<li>180 cm-es nyélhossz，300 cm-es nyélhossz</li>
<li>1 méteres fej</li>
<li>2 részes nyél</li>
<li>Rendkívül könnyű erősített Toray karbon nyél</li>
<li><span>3 zsugoros markolat</span></li>
<li>Megerősített háló a sarkokon</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"" mce-data-marked=""1"">Extra könnyű háló</span></li>
<li data-mce-fragment=""1"">Mágneses akasztóval elltáva</li>
<li data-mce-fragment=""1"">Bull Tackle zsákban</li>
</ul>
<!---->",Bull Fishing Store,Sporting Goods > Outdoor Recreation > Fishing > Fishing Tackle > Fishing Baits & Lures > Fishing Tackle Kits,"","",true,size,180cm,,,,,,,,"",0.0,shopify,deny,manual,24990.00,29900.00,true,true,"",https://cdn.shopify.com/s/files/1/0583/1242/5659/files/7fb859d7-a48c-41e1-b183-6e08c427a6a2_1.png?v=1722589341,1,"",false,,,,,,,,,,,,,,,green; black; geometric,,,,carbon,,,,kg,,,true,,,true,,,active
